23600,AGILE,MCAL,GRB 190103A,True,2019-01-03 16:42:15.05,,,,,,,,&gamma;-ray
23602,Swift,BAT,GRB 190103B,True,2019-01-03 21:03:51,212.569,14:10:16.68,35.262,+35:15:42.1,0.08000,,,&gamma;-ray
23602,Swift,XRT,GRB 190103B,True,2019-01-03 21:03:51,212.569,14:10:16.68,35.262,+35:15:42.1,0.08000,,,X-ray
23602,Swift,UVOT,GRB 190103B,False,2019-01-03 21:03:51,,,,,,,,
23603,Swift,XRT,GRB 190103B,True,2019-01-03,212.569,14:10:16.63,35.261,+35:15:39.6,0.02833,,,X-ray
23604,Swift,XRT,GRB 190103B,True,2019-01-03,,,,,,,,X-ray
23605,IceCube,IceCube,IC 190104A,True,2019-01-04 08:34:38.23,357.98,23:51:55.20,-26.65,-26:38:60.00,150.00000,,,&nu;
23606,Swift,BAT,GRB 190103B,True,2019-15-15,212.561,14:10:14.6,35.254,+35:15:13.4,1.30000,,,&gamma;-ray
23607,Bassano Bresciano,Bassano Bresciano,GRB 190103B,False,2019-01-03,,,,,,,,
23608,Fermi,LAT,IC 190104A,False,2019-01-04,,,,,,,,
23609,AstroSat,CZTI,GRB 190103A,True,2019-40-20 16:42:16.500,,,,,,,,X-ray
23610,MASTER,MASTER,IC 190104A,False,2019-01-04,,,,,,,,
23611,ANTARES,ANTARES,IC 190104A,False,2019-01-04,,,,,,,,
23612,Konus,Wind,GRB 190103B,True,2019-01-03 21:03:52.010,,,,,,,,X-ray
23613,IceCube,IceCube,IC 190104A,True,2019-01-03 08:34:38,,,,,,,,&nu;
23614,MASTER,MASTER,GRB 190106A,True,2019-01-06,,,,,,,,optical
23615,Swift,BAT,GRB 190106A,True,2019-01-06 13:34:44,29.880,01:59:31.18,23.846,+23:50:44.0,0.01017,,,&gamma;-ray
23615,Swift,XRT,GRB 190106A,True,2019-01-06 13:34:44,29.880,01:59:31.18,23.846,+23:50:44.0,0.01017,,,X-ray
23615,Swift,UVOT,GRB 190106A,True,2019-01-06 13:34:44,29.880,01:59:31.18,23.846,+23:50:44.0,0.01017,,,optical
23616,MASTER,MASTER,GRB 190106A,True,2019-01-06,,,,,,,,optical
23617,MITSuME,MITSuME,GRB 190106A,True,2019-01-06,,,,,,,,optical
23618,GMG,GMG,GRB 190106A,True,2019-01-06,,,,,,,,optical
23619,Swift,XRT,GRB 190106A,True,2019-01-06,29.880,01:59:31.21,23.845,+23:50:43.6,0.03000,,,X-ray
23620,TSHAO,TSHAO,GRB 190106A,True,2019-01-06,,,,,,,,optical
23621,Fermi,GBM,IC 190104A,False,2019-01-04,,,,,,,,
23622,GWAC,GWAC,GRB 190106A,True,2019-01-06,,,,,,,,optical
23623,Xinglong,Xinglong,GRB 190106A,True,2019-01-06,,,,,,,,optical
23624,Bassano Bresciano,Bassano Bresciano,GRB 190106A,True,2019-01-06,29.881,01:59:31.50,23.846,+23:50:44.7,0.03333,,,optical
23625,Swift,BAT,GRB 190106A,True,2019-15-15,29.877,01:59:30.6,23.839,+23:50:20.8,1.00000,,,&gamma;-ray
23626,Swift,UVOT,GRB 190106A,True,2019-01-06,29.880,01:59:31.16,23.846,+23:50:43.9,0.00700,,,optical
23627,BOOTES-4,MET,GRB 190106A,True,2019-01-06,,,,,,,,optical
23628,OASDG,OASDG,GRB 190106A,True,2019-01-06,,,,,,,,optical
23629,Xinglong,Xinglong,GRB 190106A,True,2019-01-06,,,,,,1.8600,0.01,optical
23630,GMG,GMG,GRB 190106A,True,2019-01-06,,,,,,1.8600,0.01,optical
23631,CALET,CGBM,GRB 190103B,True,2019-01-20 21:03:46.478,,,,,,,,HE
23632,VLT,X-shooter,GRB 190106A,True,2019-01-06,,,,,,1.8590,0.001,optical
23633,Swift,XRT,GRB 190106A,True,2019-01-06,,,,,,1.8600,0.01,X-ray
23634,GMG,GMG,GRB 190106A,True,2019-01-06,,,,,,,,optical
23635,IERCOO,ICSP,GRB 190106A,True,2019-01-06,29.880,01:59:31.17,23.846,+23:50:43.94,0.00767,,,optical
23636,Xinglong,Xinglong,GRB 190106A,True,2019-01-06,,,,,,,,optical
23637,Konus,Wind,GRB 190106A,True,2019-01-06 13:34:47.602,,,,,,1.8590,0.001,X-ray
23638,TSHAO,TSHAO,GRB 190106A,True,2019-01-06,,,,,,,,optical
23640,Mondy,Mondy,GRB 190106A,True,2019-01-06,,,,,,,,optical
23641,Swift,XRT,IC 190104A,False,2019-01-04,,,,,,,,
23642,Swift,BAT,GRB 190109A,True,2019-01-09 05:12:41,33.204,02:12:49.03,38.107,+38:06:24.8,0.06500,,,&gamma;-ray
23642,Swift,XRT,GRB 190109A,True,2019-01-09 05:12:41,33.204,02:12:49.03,38.107,+38:06:24.8,0.06500,,,X-ray
23642,Swift,UVOT,GRB 190109A,False,2019-01-09 05:12:41,,,,,,,,
23643,Swift,XRT,GRB 190109A,True,2019-Dec:-33,33.202,02:12:48.48,38.108,+38:06:29.1,0.03333,,,X-ray
23644,Swift,XRT,GRB 190109A,True,2019-01-09,33.202,02:12:48.52,38.109,+38:06:30.7,0.03000,,,X-ray
23645,Swift,XRT,GRB 190109A,True,2019-01-09,,,,,,,,X-ray
23648,Swift,BAT,GRB 190109B,True,2019-01-09 11:56:09,55.596,03:42:23,63.578,+63:34:40,3.00000,,,&gamma;-ray
23648,Swift,XRT,GRB 190109B,False,2019-01-09 11:56:09,,,,,,,,
23648,Swift,UVOT,GRB 190109B,False,2019-01-09 11:56:09,,,,,,,,
23649,MITSuME,MITSuME,GRB 190109A,False,2019-01-09,,,,,,,,
23651,Swift,XRT,GRB 190109B,True,2019-01-09 11:57:36.3,55.487,03:41:56.88,63.592,+63:35:31.2,0.03500,,,X-ray
23652,Swift,XRT,GRB 190109B,True,2019-01-09,55.487,03:41:56.94,63.592,+63:35:31.3,0.03000,,,X-ray
23653,Swift,BAT,GRB 190109A,True,2019-15-15,33.213,02:12:51.2,38.111,+38:06:39.5,1.00000,,,&gamma;-ray
23654,Mondy,Mondy,GRB 190109B,False,2019-01-09,,,,,,,,
23655,BOOTES-5,JGT,GRB 190109B,False,2019-01-09,,,,,,,,
23656,COATLI,COATLI,GRB 190109B,False,2019-01-09,,,,,,,,
23657,Mondy,Mondy,GRB 190109B,False,2019-01-09,,,,,,,,
23658,Fermi,GBM,GRB 190109A,True,2019-01-20 05:12:49.45,,,,,,,,&gamma;-ray
23659,Swift,BAT,GRB 190109B,True,2019-15-15,55.563,03:42:15.1,63.592,+63:35:31.7,1.40000,,,&gamma;-ray
23660,Liverpool,Liverpool,GRB 190106A,True,2019-01-06,,,,,,,,optical
23662,Swift,XRT,GRB 190109B,True,2019-01-09,,,,,,,,X-ray
23663,Swift,UVOT,GRB 190109A,False,2019-01-09,,,,,,,,
23664,Swift,UVOT,GRB 190109B,False,2019-01-09,,,,,,,,
23665,OSN,OSN,GRB 190106A,True,2019-01-06,,,,,,,,optical
23666,Fermi,GBM,GRB 190109B,True,2019-01-20 11:56:10.76,,,,,,,,&gamma;-ray
23667,AstroSat,CZTI,IC 190104A,False,2019-01-04,,,,,,,,
23668,GMG,GMG,GRB 190106A,True,2019-01-06,,,,,,,,optical
23669,FRAM,FRAM,GRB 181228A,False,2018-12-28,,,,,,,,
23670,Swift,BAT,GRB 190110A,True,2019-02-01 17:24:48,276.883,18:27:32,-53.676,-53:40:34,3.00000,,,&gamma;-ray
23670,Swift,XRT,GRB 190110A,False,2019-02-01 17:24:48,,,,,,,,
23670,Swift,UVOT,GRB 190110A,False,2019-02-01 17:24:48,,,,,,,,
23671,Fermi,GBM,GRB 190110A,True,2019-01-20 17:24:49.21,,,,,,,,&gamma;-ray
23672,Konus,Wind,GRB 190103A,True,2019-01-03 16:41:53.215,,,,,,,,X-ray
23673,Swift,UVOT,GRB 190109A,False,2019-01-09,,,,,,,,
23674,Swift,BAT,GRB 190110A,True,2019-15-15,276.939,18:27:45.3,-53.643,-53:38:34.3,1.00000,,,&gamma;-ray
23675,Konus,Wind,GRB 190110A,True,2019-01-10 17:24:49.767,,,,,,,,X-ray
23676,Insight-HXMT,HE,GRB 190110A,True,2019-01-10 17:24:48.30,,,,,,,,&gamma;-ray
23677,Swift,BAT,GRB 190114A,True,2019-01-14 03:10:49,65.543,04:22:10.42,2.191,+02:11:26.1,0.06000,,,&gamma;-ray
23677,Swift,XRT,GRB 190114A,True,2019-01-14 03:10:49,65.543,04:22:10.42,2.191,+02:11:26.1,0.06000,,,X-ray
23677,Swift,UVOT,GRB 190114A,False,2019-01-14 03:10:49,,,,,,,,
23678,Swift,UVOT,GRB 190114A,True,2019-01-14,65.544,04:22:10.57,2.191,+02:11:29.3,0.01317,,,optical
23679,Swift,XRT,GRB 190114A,True,2019-Dec:-65,65.544,04:22:10.54,2.191,+02:11:28.6,0.03333,,,X-ray
23680,VLT,X-shooter,GRB 190114A,True,2019-01-14,,,,,,2.6232,0.0001,optical
23681,Swift,XRT,GRB 190114A,True,2019-01-14,65.544,04:22:10.53,2.192,+02:11:29.4,0.02833,,,X-ray
23682,GROND,GROND,GRB 190114A,True,2019-01-14,65.544,4:22:10.58,2.191,+2:11:28.32,0.00417,,,optical
23683,Swift,XRT,GRB 190114A,True,2019-01-14,,,,,,3.3765,0.0001,X-ray
23684,Swift,UVOT,GRB 190103B,False,2019-01-03,,,,,,,,
23685,Swift,BAT,GRB 190114A,True,2019-15-15,65.542,04:22:10.2,2.196,+02:11:45.8,1.70000,,,&gamma;-ray
23686,Swift,BAT,GRB 190114B,True,2019-01-14 19:31:12,174.873,11:39:29.64,18.892,+18:53:32.3,0.06167,,,&gamma;-ray
23686,Swift,XRT,GRB 190114B,True,2019-01-14 19:31:12,174.873,11:39:29.64,18.892,+18:53:32.3,0.06167,,,X-ray
23686,Swift,UVOT,GRB 190114B,False,2019-01-14 19:31:12,,,,,,,,
23687,OSN,OSN,GRB 190114A,True,2019-01-14,,,,,,,,optical
23688,Swift,BAT,GRB 190114C,True,2019-01-14 20:57:03,54.507,03:38:1.63,-26.947,-26:56:48.1,0.08333,,,&gamma;-ray
23688,Swift,XRT,GRB 190114C,True,2019-01-14 20:57:03,54.507,03:38:1.63,-26.947,-26:56:48.1,0.08333,,,X-ray
23688,Swift,UVOT,GRB 190114C,True,2019-01-14 20:57:03,54.507,03:38:1.63,-26.947,-26:56:48.1,0.08333,,,optical
23689,INTEGRAL,IBIS,IC 190104A,False,2019-01-04,,,,,,,,
23689,INTEGRAL,SPI,IC 190104A,False,2019-01-04,,,,,,,,
23690,MASTER,MASTER,GRB 190114C,True,2019-01-14,,,,,,,,optical
23691,Swift,XRT,GRB 190114B,True,2019-01-14,174.874,11:39:29.81,18.891,+18:53:26.9,0.03833,,,X-ray
23692,Pan-STARRS,Pan-STARRS,GRB 190114C,True,2019-01-14,,,,,,,,optical
23693,MASTER,MASTER,GRB 190114C,True,2019-01-14,,,,,,,,optical
23694,BOOTES-4,MET,GRB 190114B,True,2019-01-14,174.874,11:39:29.81,18.891,+18:53:28.1,0.01667,,,optical
23695,NOT,NOT,GRB 190114C,True,2019-01-14,,,,,,0.4200,0.01,optical
23696,Mondy,Mondy,GRB 190114B,True,2019-01-14,174.874,11:39:29.84,18.891,+18:53:27.8,0.00833,,,optical
23697,NOT,NOT,GRB 190114A,True,2019-01-14,,,,,,2.6232,0.0001,optical
23698,XMM-Newton,XMM-Newton,GRB 150114C,False,2015-01-14,,,,,,,,
23699,OASDG,OASDG,GRB 190114C,True,2019-01-14,,,,,,,,optical
23700,XMM-Newton,XMM-Newton,GRB 190114C,False,2019-01-14,,,,,,,,
23701,MAGIC,MAGIC,GRB 190114C,True,2019-01-14 20:57:03.19,,,,,,,,VHE
23702,GROND,GROND,GRB 190114C,True,2019-01-14,,,,,,,,optical
23703,GWAC,GWAC,GRB 190114B,False,2019-01-14,,,,,,,,
23704,Swift,XRT,GRB 190114C,True,2019-01-14,54.505,03:38:1.20,-26.947,-26:56:47.6,0.02333,,,X-ray
23705,MITSuME,MITSuME,GRB 190114B,False,2019-01-14,,,,,,,,
23706,Swift,XRT,GRB 190114C,True,2019-01-14,,,,,,0.4200,0.01,X-ray
23707,Fermi,GBM,GRB 190114C,True,2019-01-20 20:57:02.63,,,,,,0.4200,0.01,&gamma;-ray
23708,GTC,GTC,GRB 190114C,True,2019-01-14,,,,,,0.4245,0.0005,optical
23709,Fermi,LAT,GRB 190114C,True,2019-01-14 20:57:02.63,54.57,3:38:16.80,-26.99,-26:59:24.00,3.00000,,,HE
23710,VLT,X-shooter,GRB 190114C,True,2019-01-14,,,,,,0.4250,0.0001,optical
23711,MITSuME,MITSuME,GRB 190109B,False,2019-01-09,,,,,,,,
23712,AGILE,MCAL,GRB 190114C,True,2019-01-14 20:57:02.26,,,,,,,,&gamma;-ray
23713,NOT,NOT,GRB 190114B,True,2019-01-14,174.874,11:39:29.823,18.891,+18:53:28.19,,,,optical
23714,INTEGRAL,SPI,GRB 190114C,True,2019-01-14 20:57:02,,,,,,,,&gamma;-ray
23716,Insight-HXMT,HE,GRB 190114C,True,2019-01-14 20:57:02.63,,,,,,,,&gamma;-ray
23718,Mondy,Mondy,GRB 190114A,True,2019-01-14,,,,,,,,optical
23719,Swift,UVOT,GRB 190114A,True,2019-01-14,65.544,04:22:10.55,2.192,+02:11:29.6,0.00700,,,optical
23720,Swift,UVOT,GRB 190114B,False,2019-01-14,,,,,,,,
23721,Swift,BAT,GRB 190114B,True,2019-15-15,174.868,11:39:28.3,18.882,+18:52:53.5,2.30000,,,&gamma;-ray
23722,Mondy,Mondy,GRB 190114B,True,2019-01-14,,,,,,,,optical
23723,Liverpool,Liverpool,GRB 190114B,True,2019-01-14,,,,,,,,optical
23724,Swift,BAT,GRB 190114C,True,2019-15-15,54.503,03:38:00.7,-26.938,-26:56:17.5,1.00000,,,&gamma;-ray
23725,Swift,UVOT,GRB 190114C,True,2019-01-14,54.505,03:38:01.16,-26.946,-26:56:46.9,0.00700,,,optical
23726,VLA,VLA,GRB 190114C,True,2019-01-14,54.505,03:38:01.191,-26.946,-26:56:46.73,0.00033,,,radio
23727,Mondy,Mondy,GRB 190114C,True,2019-01-14,,,,,,,,optical
23728,ALMA,ALMA,GRB 190114C,True,2019-01-14,,,,,,,,radio
23729,REM,REM,GRB 190114C,True,2019-01-14,,,,,,,,optical
23730,Swift,XRT,GRB 190114B,True,2019-01-14,,,,,,,,X-ray
23731,DOAO,DOAO,GRB 190114A,False,2019-01-14,,,,,,,,
23731,LOAO,LOAO,GRB 190114A,False,2019-01-14,,,,,,,,
23732,LSGT,LSGT,GRB 190114C,True,2019-01-14,,,,,,,,optical
23734,KMTNet,KMTNet,GRB 190114C,True,2019-01-14,,,,,,,,optical
23736,Swift,XRT,GRB 190114C,True,2019-01-14,,,,,,,,X-ray
23737,Konus,Wind,GRB 190114C,True,2019-01-14 20:57:02.341,,,,,,0.4245,0.0001,X-ray
23738,DOAO,DOAO,GRB 190114A,False,2019-01-14,,,,,,,,
23738,LOAO,LOAO,GRB 190114A,False,2019-01-14,,,,,,,,
23739,NOEMA,NOEMA,GRB 190114A,True,2019-01-14,,,,,,3.3765,0.0001,optical
23740,UKIRT,UKIRT,GRB 190114C,True,2019-01-14,,,,,,,,optical
23741,CHILESCOPE,CHILESCOPE,GRB 190114C,True,2019-01-14,,,,,,,,optical
23742,HCT,HCT,GRB 190114C,True,2019-01-14,,,,,,,,optical
23743,Mondy,Mondy,GRB 190114B,True,2019-01-14,,,,,,,,optical
23744,DCT,DCT,GRB 190106A,True,2019-01-06,,,,,,,,optical
23745,ATCA,ATCA,GRB 190114C,True,2019-01-14,,,,,,,,radio
23746,CHILESCOPE,CHILESCOPE,GRB 190114C,True,2019-01-14,,,,,,,,optical
23747,UKIRT,UKIRT,GRB 190114C,True,2019-01-14,,,,,,,,optical
23748,ePESSTO,ePESSTO,GRB 190114C,True,2019-01-14,,,,,,,,optical
23749,COATLI,COATLI,GRB 190114C,True,2019-01-14,,,,,,,,optical
23750,RT-22,RT-22,GRB 190114C,True,2019-01-14,,,,,,,,optical
23751,RATIR,RATIR,GRB 190114C,True,2019-01-14,,,,,,,,optical
23752,AGILE,MCAL,GRB 190117A,True,2019-01-17 14:36:49.01,,,,,,,,&gamma;-ray
23753,SRT,SRT,GRB 190114C,False,2019-01-14,,,,,,,,
23754,REM,REM,GRB 190114C,True,2019-01-14,,,,,,,,optical
23755,SRT,SRT,GRB 190114C,True,2019-01-14,,,,,,,,radio
23756,UKIRT,UKIRT,GRB 190114C,True,2019-01-14,,,,,,,,optical
23757,UKIRT,UKIRT,GRB 190114C,True,2019-01-14,,,,,,,,optical
23759,Insight-HXMT,HE,GRB 190117A,True,2019-01-17 14:36:47.000,,,,,,,,&gamma;-ray
23760,MeerKAT,MeerKAT,GRB 190114C,True,2019-01-14,,,,,,,,radio
23762,GMRT,GMRT,GRB 190114C,True,2019-01-14,,,,,,,,radio
23766,RTT150,RTT150,GRB 190114C,True,2019-01-14,,,,,,,,optical
23767,Fermi,LAT,GRB 190122A,True,2019-01-22 07:19:07.57,258.71,17:14:50.40,48.12,48:7:12.00,54.60000,,,HE
23768,Fermi,GBM,GRB 190122A,True,2019-01-20 07:19:07.57,,,,,,,,&gamma;-ray
23769,Swift,BAT,GRB 190123A,True,2019-01-23 12:19:13,53.221,03:32:52.97,45.524,+45:31:27.3,0.06667,,,&gamma;-ray
23769,Swift,XRT,GRB 190123A,True,2019-01-23 12:19:13,53.221,03:32:52.97,45.524,+45:31:27.3,0.06667,,,X-ray
23769,Swift,UVOT,GRB 190123A,False,2019-01-23 12:19:13,,,,,,,,
23770,MASTER,MASTER,GRB 190123A,False,2019-01-23,,,,,,,,
23771,Swift,XRT,GRB 190123A,True,2019-01-23,53.221,03:32:52.94,45.525,+45:31:31.1,0.03833,,,X-ray
23772,BOOTES-4,MET,GRB 190123A,False,2019-01-23,,,,,,,,
23773,Fermi,GBM,GRB 190123A,True,2019-01-20 12:19:18.22,,,,,,,,&gamma;-ray
23774,GOTO,GOTO,GRB 190123A,False,2019-01-23,,,,,,,,
23775,Swift,XRT,GRB 190123A,True,2019-01-23,,,,,,,,X-ray
26759,LIGO,Virgo,S 200115j,True,2020-01-15 04:23:09.742,,,,,,0.0710,0.020097829978122365,GW
26760,MAXI,GSC,S 200115j,False,2020-01-15,,,,,,,,
